DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-20 04:19:56,99,118,0,825.102,555.123,59,228.246,13466.5,0,0,47.949,837
2025-10-20 04:19:58,99,164,0,1588.53,989.298,82,228.085,18703,0,0,5.061,1487.915
2025-10-20 04:20:00,99,213,0,1025.502,899.601,106.5,228.023,24284.5,0,0,1.662,818.601
2025-10-20 04:20:02,99,142,0,734.746,678.72,71,227.986,16187,0,0,1.486,616.782
2025-10-20 04:20:04,99,263,0,717.616,488.559,131.5,228.019,29984.5,0,0,1.589,753.437
2025-10-20 04:20:06,99,238,0,862.983,632.548,119,228.059,27139,0,0,1.357,751.576
2025-10-20 04:20:08,99,238,0,792.79,643.248,119,228.05,27138,0,0,1.634,693.16
2025-10-20 04:20:10,99,150,0,1038.347,719.337,75,228.033,17102.5,0,0,1.807,887.26
2025-10-20 04:20:12,99,219,0,1114.164,982.133,109.5,228.05,24971.5,0,0,1.95,944.434
2025-10-20 04:20:14,99,308,0,573.315,531.553,154,228.052,35120,0,0,1.084,472.224
2025-10-20 04:20:16,99,586,0,441.962,408.544,293,228.027,66812,0,0,1.089,379.275
2025-10-20 04:20:18,99,281,0,618.594,434.183,140.5,228.089,32046.5,0,0,0.968,554.011
2025-10-20 04:20:20,99,211,0,805.962,606.307,105.5,228.043,24058.5,0,0,1.431,690.915
2025-10-20 04:20:22,99,387,0,636.408,628.949,193.5,228.034,44124.5,0,0,1.196,504.01
2025-10-20 04:20:24,99,231,0,690.242,517.645,115.5,228.056,26340.5,0,0,1.381,578.113
2025-10-20 04:20:26,99,347,0,638.21,555.271,173.5,228.037,39564.5,0,0,1.415,532.611
2025-10-20 04:20:28,99,335,0,548.788,489.524,167.5,228.036,38196,0,0,1.087,495.899
2025-10-20 04:20:30,99,445,0,489.665,377.031,222.5,228.036,50738,0,0,1.04,399.798
2025-10-20 04:20:32,99,433,0,469.099,346.907,216.5,228.03,49368.5,0,0,1.104,418.949
2025-10-20 04:20:35,99,319,0,561.492,444.135,159.5,228.025,36370,0,0,1.163,463.282
